Id,1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,RoofStyle,SaleCondition,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,TotalSF,SalePriceLog,T_garage,T_Overall,target
1,856,854,0,1,3,0,4,3,706.0,0.0,2,6,1.0,0.0,2,150.0,1,2,2,4,0,4,2,12,13,4,3,0,2,2,6,548.0,2.0,5,2,5,1,2003.0,1710,1,1,0,5,1,2,3,0,8450,4,65.0,3,0,5,3,196.0,1,1,0,4,5,61,4,7,2,0,3,1,1,4,8,0,1,8,856.0,856,0,2003,2003,2,2566.0,12.247694320220996,14.0,11,208500.0
2,1262,0,0,1,3,0,4,1,978.0,0.0,0,6,0.0,1.0,2,284.0,1,1,2,4,0,4,3,8,8,4,5,1,1,2,6,460.0,2.0,5,2,5,1,1976.0,1262,0,1,0,2,1,3,3,0,9600,2,80.0,3,0,0,3,0.0,2,1,0,7,24,0,7,6,2,0,3,1,1,4,8,0,1,6,1262.0,1262,298,1976,1976,1,2524.0,12.109010932687044,14.0,13,181500.0
3,920,866,0,1,3,0,4,2,486.0,0.0,2,6,1.0,0.0,2,434.0,1,2,2,4,0,4,2,12,13,4,5,1,2,2,6,608.0,2.0,5,2,5,1,2001.0,1786,1,1,0,5,1,2,3,0,11250,4,68.0,0,0,5,3,162.0,1,1,0,11,5,42,4,7,2,0,3,1,1,4,8,0,1,6,920.0,920,0,2001,2002,2,2706.0,12.31716669303576,14.0,11,223500.0
4,961,756,0,1,3,0,1,3,216.0,0.0,0,6,1.0,0.0,4,540.0,1,2,2,4,272,4,3,13,15,4,2,1,0,1,6,642.0,3.0,5,3,5,5,1998.0,1717,0,1,2,5,1,2,3,0,9550,0,60.0,0,0,6,3,0.0,2,1,0,4,6,35,4,7,2,0,3,1,1,0,8,0,1,7,756.0,961,0,1915,1970,0,2473.0,11.849397701591439,16.0,11,140000.0
5,1145,1053,0,1,4,0,4,0,655.0,0.0,2,6,1.0,0.0,2,490.0,1,2,2,4,0,4,2,12,13,4,5,1,2,2,6,836.0,3.0,5,2,5,1,2000.0,2198,1,1,0,5,1,2,3,0,14260,2,84.0,0,0,5,3,350.0,1,1,0,3,15,84,4,8,2,0,3,1,1,4,8,0,1,9,1145.0,1145,192,2000,2000,2,3343.0,12.429216196844385,15.0,12,250000.0
6,796,566,320,1,1,0,4,3,732.0,0.0,2,6,1.0,0.0,2,64.0,1,2,2,4,0,4,3,12,13,2,3,0,5,1,6,480.0,2.0,5,3,5,1,1993.0,1362,1,1,0,0,1,3,3,0,14115,4,85.0,0,0,4,3,0.0,2,3,700,1,11,30,4,5,2,0,3,1,1,4,8,0,1,5,796.0,796,40,1993,1995,3,2158.0,11.870599909242046,15.0,9,143000.0
7,1694,0,0,1,3,0,4,0,1369.0,0.0,2,6,1.0,0.0,0,317.0,1,2,2,4,0,4,2,12,13,4,2,1,2,2,6,636.0,2.0,5,2,5,1,2004.0,1694,0,1,0,2,1,2,3,0,10084,4,75.0,3,0,0,3,186.0,3,1,0,10,21,57,4,8,2,0,3,1,1,4,8,0,1,7,1686.0,1694,255,2004,2005,1,3380.0,12.634603026569335,14.0,12,307000.0
8,1107,983,0,1,3,0,4,2,859.0,32.0,0,1,1.0,0.0,2,216.0,1,4,2,4,228,4,3,6,6,4,5,2,1,2,6,484.0,2.0,5,2,5,1,1973.0,2090,1,1,0,5,1,3,3,0,10382,0,70.0,0,0,5,3,240.0,3,3,350,2,14,204,5,7,2,0,3,1,1,4,8,0,1,7,1107.0,1107,235,1973,1973,3,3197.0,12.206072645530176,14.0,12,200000.0
9,1022,752,0,1,2,0,4,3,0.0,0.0,6,6,0.0,0.0,4,952.0,1,0,2,1,205,4,3,3,15,4,5,2,0,2,2,468.0,2.0,5,3,1,5,1931.0,1774,0,1,2,0,2,3,3,0,6120,4,51.0,3,0,4,4,0.0,2,1,0,6,17,0,4,7,2,0,3,1,1,0,8,0,1,8,952.0,1022,90,1931,1950,2,2726.0,11.774520202658689,11.0,11,129900.0
10,1077,0,0,1,2,1,4,3,851.0,0.0,2,6,1.0,0.0,4,140.0,1,0,0,4,0,4,3,8,8,4,5,2,0,1,6,205.0,1.0,5,2,2,1,1939.0,1077,0,1,0,1,2,3,3,0,7420,0,50.0,3,0,14,3,0.0,2,1,0,0,3,4,5,5,2,0,3,1,1,4,8,0,1,5,991.0,1077,0,1939,1950,2,2068.0,11.6784399034478,10.0,10,118000.0
11,1040,0,0,1,3,0,4,3,906.0,0.0,5,6,1.0,0.0,4,134.0,1,2,2,4,0,4,3,6,6,4,3,0,1,1,6,384.0,1.0,5,3,5,5,1965.0,1040,0,1,0,2,1,3,3,0,11200,4,70.0,3,0,0,3,0.0,2,1,0,4,19,0,4,5,2,0,3,1,3,4,8,0,1,5,1040.0,1040,0,1965,1965,2,2080.0,11.771436160121727,14.0,9,129500.0
12,1182,1142,0,1,4,0,4,3,998.0,0.0,2,6,1.0,0.0,0,177.0,1,2,2,4,0,4,0,14,15,4,2,2,2,3,6,736.0,3.0,5,0,5,3,2005.0,2324,0,1,0,5,1,0,3,0,11924,4,85.0,0,0,5,3,286.0,3,1,0,9,16,21,4,9,2,0,3,1,3,5,6,0,1,11,1175.0,1182,147,2005,2006,0,3499.0,12.751299696013493,13.0,13,345000.0
13,912,0,0,1,2,0,4,3,737.0,0.0,0,6,1.0,0.0,4,175.0,1,2,2,4,0,4,3,6,10,4,3,0,1,1,6,352.0,1.0,5,3,5,5,1962.0,912,0,1,4,2,1,3,3,0,12968,4,70.0,1,0,0,3,0.0,2,1,0,11,19,0,5,5,2,0,3,1,3,4,8,176,1,4,912.0,912,140,1962,1962,2,1824.0,11.877568578558137,14.0,10,144000.0
14,1494,0,0,1,3,0,4,0,0.0,0.0,6,6,0.0,0.0,2,1494.0,1,2,2,4,0,4,2,12,13,4,2,1,2,2,6,840.0,3.0,5,2,5,1,2006.0,1494,0,1,0,2,1,2,3,0,10652,4,91.0,0,0,0,3,306.0,3,1,0,10,5,33,4,7,2,0,3,1,1,5,6,0,1,7,1494.0,1494,160,2006,2007,1,2988.0,12.540757571577293,15.0,11,279500.0
15,1253,0,0,1,2,0,4,3,733.0,0.0,1,6,1.0,0.0,4,520.0,1,2,2,4,176,4,3,8,8,1,1,1,1,1,6,352.0,1.0,5,2,5,1,1960.0,1253,1,1,4,2,1,3,3,0,10920,0,70.0,0,0,0,3,212.0,1,1,0,7,12,213,4,6,2,0,3,1,3,4,8,0,1,5,1253.0,1253,0,1960,1960,2,2506.0,11.964001084330445,13.0,10,157000.0
16,854,0,0,1,2,0,4,3,0.0,0.0,6,6,0.0,0.0,4,832.0,1,2,2,0,0,4,3,13,14,0,3,0,0,1,6,576.0,2.0,5,3,5,5,1991.0,854,0,1,0,1,1,3,3,0,6120,0,51.0,3,0,3,4,0.0,2,1,0,9,3,112,7,7,2,0,3,1,1,4,8,0,1,5,832.0,854,48,1929,2001,1,1686.0,11.790557201568507,15.0,14,132000.0
17,1004,0,0,1,2,0,4,3,578.0,0.0,0,6,1.0,0.0,4,426.0,1,2,2,4,0,4,3,13,14,4,5,1,1,1,6,480.0,2.0,5,0,5,1,1970.0,1004,0,1,0,2,1,3,3,0,11241,1,70.0,0,0,0,3,180.0,1,3,700,5,12,0,6,6,2,0,3,1,1,4,8,0,1,5,1004.0,1004,0,1970,1970,4,2008.0,11.911701584927595,12.0,12,149000.0
18,1296,0,0,1,2,2,2,4,0.0,0.0,4,4,0.0,0.0,3,0.0,1,2,2,4,0,4,3,8,8,4,3,0,3,2,6,516.0,2.0,5,3,5,4,1967.0,1296,0,1,4,2,2,3,3,0,10791,4,72.0,3,0,10,3,0.0,2,3,500,1,19,0,4,4,2,0,3,1,1,4,8,0,1,6,0.0,1296,0,1967,1967,0,1296.0,11.407564949312404,15.0,8,90000.0
19,1114,0,0,1,3,0,4,3,646.0,0.0,2,6,1.0,0.0,4,468.0,1,5,2,4,0,4,3,12,13,4,3,0,2,1,6,576.0,2.0,5,3,5,5,2004.0,1114,1,1,0,2,1,2,3,0,13695,4,66.0,3,0,0,3,0.0,2,1,0,8,20,102,4,5,2,0,3,1,1,4,8,0,1,6,1114.0,1114,0,2004,2004,2,2228.0,11.976659481202367,15.0,9,159000.0
20,1339,0,0,1,3,0,4,3,504.0,0.0,3,6,0.0,0.0,4,525.0,1,2,2,4,0,4,3,3,10,2,3,0,1,1,2,294.0,1.0,5,3,5,1,1958.0,1339,0,1,4,2,1,3,3,0,7560,4,70.0,3,0,0,3,0.0,2,1,0,7,12,0,5,5,2,0,3,1,3,0,0,0,1,6,1029.0,1339,0,1958,1965,3,2368.0,11.842229212112827,14.0,10,139000.0
21,1158,1218,0,1,4,0,4,0,0.0,0.0,6,6,0.0,0.0,0,1158.0,1,2,2,4,0,4,2,12,13,4,2,1,2,3,6,853.0,3.0,5,2,5,3,2005.0,2376,1,1,0,5,1,2,3,0,14215,0,101.0,0,0,5,3,380.0,1,1,0,2,16,154,4,8,2,0,3,1,1,5,6,0,1,9,1158.0,1158,240,2005,2006,0,3534.0,12.692503112461445,15.0,12,325300.0
22,1108,0,0,0,3,0,4,3,0.0,0.0,6,6,0.0,0.0,4,637.0,1,2,2,1,205,4,3,13,14,0,2,1,2,1,6,280.0,1.0,5,3,5,1,1930.0,1108,0,1,0,1,1,2,0,0,7449,4,57.0,3,0,3,4,0.0,2,1,0,8,9,0,6,7,0,0,3,1,1,4,8,0,1,6,637.0,1108,0,1930,1950,1,1745.0,11.84510277730856,14.0,13,139400.0
23,1795,0,0,1,3,0,4,3,0.0,0.0,6,6,0.0,0.0,2,1777.0,1,2,2,4,0,4,2,12,13,4,2,1,2,2,6,534.0,2.0,5,2,5,1,2002.0,1795,0,1,0,2,1,2,3,0,9742,4,75.0,3,0,0,3,281.0,1,1,0,11,5,159,4,8,2,0,3,1,3,4,8,0,1,7,1777.0,1795,171,2002,2002,2,3572.0,12.345834587905333,14.0,12,230000.0
